Code,Country,Description,Rate
38762,,Cellular BH,0
38763,,Cellular Eronet,0
38765,,Cellular Srpska,0
38766,,Cellular Srpska,0
3879,,Cellular,0
267,,,0
2677,,Cellular,0
26771,,Cellular Mascom,0
26772,,Cellular Orange,0
26773,,Cellular BTC,0
267740,,Cellular Mascom,0
267741,,Cellular Mascom,0
267742,,Cellular Mascom,0
267743,,Cellular Orange,0
267744,,Cellular Orange,0
267745,,Cellular Mascom,0
267746,,Cellular Mascom,0
267747,,Cellular Mascom,0
267748,,Cellular Orange,0
267750,,Cellular Orange,0
267751,,Cellular Orange,0
267752,,Cellular Orange,0
267753,,Cellular Orange,0
267754,,Cellular Mascom,0
267755,,Cellular Mascom,0
267756,,Cellular Mascom,0
267757,,Cellular Orange,0
267759,,Cellular Mascom,0
267760,,Cellular Mascom,0
267761,,Cellular Mascom,0
267762,,Cellular Mascom,0
267763,,Cellular Orange,0
267764,,Cellular Orange,0
267765,,Cellular Orange,0
267766,,Cellular Mascom,0
267767,,Cellular Mascom,0
267769,,Cellular Orange,0
267770,,Cellular Mascom,0
267771,,Cellular Mascom,0
2677920,,Cellular Orange,0
55,,,0
55106,,Cellular,0
55107,,Cellular,0
